<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=18 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/norwegian#norec'>norec</a>,<a href='https://euroeval.com/datasets/norwegian#norne-nb'>norne_nb</a>,<a href='https://euroeval.com/datasets/norwegian#norne-nn'>norne_nn</a>,<a href='https://euroeval.com/datasets/norwegian#scala-nb'>scala_nb</a>,<a href='https://euroeval.com/datasets/norwegian#scala-nn'>scala_nn</a>,<a href='https://euroeval.com/datasets/norwegian#norquad'>norquad</a>,<a href='https://euroeval.com/datasets/norwegian#no-sammendrag'>no_sammendrag</a>,<a href='https://euroeval.com/datasets/norwegian#nrk-quiz-qa'>nrk_quiz_qa</a>,<a href='https://euroeval.com/datasets/norwegian#idioms-no'>idioms_no</a>,<a href='https://euroeval.com/datasets/norwegian#nor-common-sense-qa'>nor_common_sense_qa</a>,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,idioms_no_version,nor_common_sense_qa_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.20@@1.20,0.05,?,256128.0,1048576.0,✓,✗,63.90 ± 2.34 / 74.24 ± 1.77@@63.90,79.49 ± 1.84 / 67.98 ± 3.20@@79.49,76.38 ± 2.92 / 66.08 ± 2.67@@76.38,75.23 ± 2.21 / 87.41 ± 1.13@@75.23,79.31 ± 2.22 / 89.50 ± 1.13@@79.31,75.22 ± 0.44 / 50.20 ± 1.37@@75.22,30.94 ± 0.29 / 34.96 ± 0.34@@30.94,87.80 ± 1.63 / 91.05 ± 1.18@@87.80,86.22 ± 1.44 / 89.57 ± 1.12@@86.22,88.36 ± 3.34 / 90.78 ± 2.60@@88.36,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.34@@1.34,?,?,256128.0,1048576.0,✓,✗,58.15 ± 1.98 / 68.34 ± 1.70@@58.15,77.44 ± 1.06 / 61.35 ± 2.25@@77.44,79.37 ± 2.27 / 64.07 ± 2.89@@79.37,76.61 ± 2.50 / 88.28 ± 1.26@@76.61,73.33 ± 1.73 / 86.53 ± 0.89@@73.33,70.36 ± 0.79 / 43.69 ± 1.48@@70.36,31.08 ± 0.27 / 35.43 ± 0.31@@31.08,87.73 ± 1.63 / 91.02 ± 1.19@@87.73,78.16 ± 1.27 / 83.67 ± 0.91@@78.16,84.51 ± 2.92 / 87.66 ± 2.21@@84.51,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.35@@1.35,31.71,31273088876.0,262144.0,8192.0,✓,✗,65.09 ± 1.30 / 74.51 ± 1.02@@65.09,81.87 ± 0.59 / 75.83 ± 1.31@@81.87,84.64 ± 0.73 / 78.51 ± 0.69@@84.64,68.93 ± 1.43 / 84.38 ± 0.72@@68.93,70.77 ± 0.85 / 85.28 ± 0.41@@70.77,73.14 ± 0.39 / 46.47 ± 0.66@@73.14,31.91 ± 0.18 / 34.55 ± 0.20@@31.91,66.95 ± 1.32 / 75.70 ± 0.98@@66.95,58.78 ± 1.94 / 68.95 ± 1.41@@58.78,90.45 ± 1.58 / 92.34 ± 1.31@@90.45,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.37@@1.37,?,?,256128.0,1048576.0,✓,✗,64.09 ± 2.68 / 73.91 ± 2.14@@64.09,75.50 ± 2.19 / 61.99 ± 3.33@@75.50,73.02 ± 2.72 / 58.37 ± 2.79@@73.02,70.45 ± 1.83 / 84.39 ± 1.00@@70.45,60.93 ± 2.20 / 78.00 ± 1.64@@60.93,70.36 ± 0.79 / 43.69 ± 1.48@@70.36,29.91 ± 0.28 / 34.63 ± 0.30@@29.91,87.62 ± 1.70 / 90.90 ± 1.24@@87.62,80.46 ± 1.77 / 85.39 ± 1.31@@80.46,87.18 ± 3.17 / 89.84 ± 2.47@@87.18,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.39@@1.39,11.91,?,?,400000.0,✓,✗,59.85 ± 1.50 / 71.34 ± 1.13@@59.85,82.75 ± 0.66 / 72.21 ± 1.29@@82.75,85.36 ± 0.82 / 77.85 ± 1.12@@85.36,63.06 ± 0.79 / 81.07 ± 0.36@@63.06,63.61 ± 1.04 / 80.49 ± 0.61@@63.61,70.66 ± 0.37 / 41.70 ± 0.62@@70.66,30.51 ± 0.15 / 34.53 ± 0.18@@30.51,80.99 ± 0.70 / 85.86 ± 0.50@@80.99,75.06 ± 0.96 / 81.25 ± 0.72@@75.06,87.00 ± 1.22 / 89.38 ± 1.01@@87.00,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.40@@1.40,?,?,?,?,✓,✗,60.63 ± 2.59 / 71.46 ± 1.95@@60.63,80.47 ± 1.36 / 77.68 ± 2.65@@80.47,83.87 ± 1.72 / 80.95 ± 1.83@@83.87,69.97 ± 2.98 / 84.09 ± 1.63@@69.97,55.32 ± 2.70 / 77.02 ± 1.34@@55.32,73.09 ± 0.71 / 46.29 ± 1.50@@73.09,30.08 ± 0.25 / 34.64 ± 0.28@@30.08,75.63 ± 1.94 / 82.07 ± 1.41@@75.63,73.92 ± 1.79 / 80.39 ± 1.33@@73.92,90.45 ± 3.56 / 92.34 ± 2.87@@90.45,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.42@@1.42,10.76,?,?,400000.0,✓,✗,57.52 ± 1.64 / 69.85 ± 1.23@@57.52,82.16 ± 0.62 / 74.84 ± 1.25@@82.16,83.77 ± 0.97 / 75.67 ± 1.20@@83.77,63.79 ± 1.19 / 81.10 ± 0.64@@63.79,63.15 ± 0.98 / 80.02 ± 0.55@@63.15,69.98 ± 0.38 / 42.13 ± 0.74@@69.98,30.25 ± 0.17 / 34.32 ± 0.20@@30.25,79.59 ± 0.87 / 85.00 ± 0.62@@79.59,72.59 ± 0.93 / 79.45 ± 0.70@@72.59,89.75 ± 1.12 / 91.72 ± 0.93@@89.75,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.46@@1.46,87.09,?,256128.0,1048576.0,✓,✗,61.02 ± 1.14 / 72.22 ± 0.94@@61.02,74.76 ± 1.06 / 57.98 ± 1.24@@74.76,72.00 ± 1.78 / 58.31 ± 1.63@@72.00,71.65 ± 1.44 / 85.10 ± 0.82@@71.65,73.39 ± 0.76 / 86.09 ± 0.43@@73.39,73.40 ± 0.35 / 46.71 ± 0.75@@73.40,29.65 ± 0.14 / 34.37 ± 0.17@@29.65,78.26 ± 1.08 / 84.02 ± 0.76@@78.26,59.88 ± 1.66 / 69.92 ± 1.24@@59.88,86.96 ± 1.03 / 89.53 ± 0.81@@86.96,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.48@@1.48,30.55,?,?,400000.0,✓,✗,56.31 ± 1.48 / 69.55 ± 1.17@@56.31,80.75 ± 0.70 / 70.78 ± 1.22@@80.75,79.46 ± 1.28 / 68.87 ± 1.27@@79.46,68.06 ± 0.94 / 83.45 ± 0.46@@68.06,62.01 ± 1.53 / 80.43 ± 0.81@@62.01,70.44 ± 0.38 / 41.32 ± 0.74@@70.44,30.18 ± 0.12 / 34.51 ± 0.15@@30.18,80.14 ± 0.81 / 85.35 ± 0.60@@80.14,69.07 ± 0.99 / 76.80 ± 0.75@@69.07,84.73 ± 0.99 / 87.66 ± 0.79@@84.73,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
